CustomerID,Gender,MaritalStatus,YearlyIncome,Revenue,Customer Value,OrderDate,Weekday,Month,Year,Country,BirthDate,Age,Age band,Firstname,Lastname,Customername,,,,
10023,Female,Married,0-25000,£865,Casual buyers,4/14/2013,Sunday,April,2013,France,7/3/1929,83,Elderly,VICTORIA,Griffin,VICTORIA Griffin,,,,
10024,Female,Married,0-25000,"£2,700",Convinced seekers,4/30/2013,Tuesday,April,2013,Northwest,8/10/1979,33,Young Adult,JOANNA,Alonso,JOANNA Alonso,,,,
10025,Female,Married,0-25000,"£2,411",Brand seekers,5/6/2013,Monday,May,2013,France,2/4/1967,46,Adult,MISTY,Chande,MISTY Chande,,,,
10026,Female,Married,0-25000,"£2,289",Brand seekers,5/24/2013,Friday,May,2013,France,8/8/1962,50,Seniors,JENNY,Shen,JENNY Shen,,,,
10027,Female,Married,0-25000,"£2,643",Convinced seekers,6/4/2013,Tuesday,June,2013,Australia,3/20/1961,52,Seniors,JENNY,Xu,JENNY Xu,,,,
10028,Female,Married,0-25000,£61,Casual buyers,6/30/2013,Sunday,June,2013,France,2/27/1960,53,Seniors,BARBARA,Zhu,BARBARA Zhu,,,,
10029,Female,Married,0-25000,£44,Casual buyers,7/3/2013,Wednesday,July,2013,France,1/13/1976,37,Adult,LINDA,Travers,LINDA Travers,,,,
10030,Female,Married,0-25000,£9,Casual buyers,7/4/2013,Thursday,July,2013,Southwest,8/22/1958,54,Seniors,DAWN,Hu,DAWN Hu,,,,
10031,Female,Married,0-25000,"£2,575",Convinced seekers,7/5/2013,Friday,July,2013,France,11/21/1962,50,Seniors,BARBARA,Wu,BARBARA Wu,,,,
10032,Female,Married,0-25000,"£2,646",Convinced seekers,7/7/2013,Sunday,July,2013,Australia,2/8/1954,59,Seniors,JUDITH,White,JUDITH White,,,,
10033,Female,Married,0-25000,£209,Casual buyers,7/15/2013,Monday,July,2013,Australia,6/20/1946,67,Elderly,KRYSTAL,Guo,KRYSTAL Guo,,,,
10034,Female,Married,0-25000,"£2,739",Convinced seekers,7/16/2013,Tuesday,July,2013,Australia,3/24/1968,45,Adult,BRANDI,Gutierrez,BRANDI Gutierrez,,,,
10035,Female,Married,0-25000,£10,Casual buyers,7/21/2013,Sunday,July,2013,United Kingdom,12/23/1956,56,Seniors,ASHLEY,Foster,ASHLEY Foster,,,,
10036,Female,Married,0-25000,£77,Casual buyers,7/23/2013,Tuesday,July,2013,Southwest,4/1/1978,35,Adult,ALICIA,Xu,ALICIA Xu,,,,
10037,Female,Married,0-25000,"£1,935",Brand seekers,7/25/2013,Thursday,July,2013,Southwest,8/7/1973,39,Adult,LINDSEY,Shan,LINDSEY Shan,,,,
10038,Female,Married,0-25000,"£1,880",Brand seekers,8/1/2013,Thursday,August,2013,France,1/27/1949,64,Seniors,DIANE,Serrano,DIANE Serrano,,,,
10039,Female,Married,0-25000,£24,Casual buyers,8/8/2013,Thursday,August,2013,Northwest,2/5/1948,65,Elderly,FELICIA,Munoz,FELICIA Munoz,,,,
10040,Female,Married,0-25000,£94,Casual buyers,8/15/2013,Thursday,August,2013,Northwest,9/10/1960,52,Seniors,JOANNA,Sanz,JOANNA Sanz,,,,
10041,Female,Married,0-25000,"£2,599",Convinced seekers,8/18/2013,Sunday,August,2013,Southwest,4/3/1978,35,Adult,DAWN,Xu,DAWN Xu,,,,
10042,Female,Married,0-25000,"£2,673",Convinced seekers,8/19/2013,Monday,August,2013,Germany,8/8/1943,70,Elderly,JILL,Dominguez,JILL Dominguez,,,,
10043,Female,Married,0-25000,£99,Casual buyers,8/22/2013,Thursday,August,2013,Australia,8/21/1952,61,Seniors,LACEY,Ye,LACEY Ye,,,,
10044,Female,Married,0-25000,£87,Casual buyers,8/23/2013,Friday,August,2013,Northwest,9/13/1951,61,Seniors,PATRICIA,Perez,PATRICIA Perez,,,,
10045,Female,Married,0-25000,£3,Casual buyers,8/25/2013,Sunday,August,2013,Southwest,5/23/1955,58,Seniors,ISABELLA,Williams,ISABELLA Williams,,,,
10046,Female,Married,0-25000,£8,Casual buyers,8/26/2013,Monday,August,2013,Germany,8/19/1970,43,Adult,JANELLE,Suri,JANELLE Suri,,,,
10047,Female,Married,0-25000,£15,Casual buyers,8/30/2013,Friday,August,2013,France,2/27/1960,53,Seniors,BARBARA,Zhu,BARBARA Zhu,,,,
10048,Female,Married,0-25000,£934,Casual buyers,9/4/2013,Wednesday,September,2013,Australia,6/1/1974,39,Adult,FELICIA,Rubio,FELICIA Rubio,,,,
10049,Female,Married,0-25000,£43,Casual buyers,9/8/2013,Sunday,September,2013,Australia,8/4/1962,51,Seniors,NICHOLE,Chander,NICHOLE Chander,,,,
10050,Female,Married,0-25000,£26,Casual buyers,9/9/2013,Monday,September,2013,Australia,5/10/1952,61,Seniors,HOLLY,Chandra,HOLLY Chandra,,,,
10051,Female,Married,0-25000,£8,Casual buyers,9/15/2013,Sunday,September,2013,France,2/27/1960,53,Seniors,BARBARA,Zhu,BARBARA Zhu,,,,
10052,Female,Married,0-25000,"£1,978",Brand seekers,9/20/2013,Friday,September,2013,Southwest,3/1/1955,58,Seniors,MELODY,Harrison,MELODY Harrison,,,,
10053,Female,Married,0-25000,"£2,591",Convinced seekers,9/28/2013,Saturday,September,2013,Australia,2/26/1920,93,Elderly,ELIZABETH,Perry,ELIZABETH Perry,,,,
10054,Female,Married,0-25000,"£3,954",Convinced seekers,6/4/2011,Saturday,June,2011,Australia,9/3/1943,67,Elderly,KELSEY,Nath,KELSEY Nath,,,,
10055,Female,Married,0-25000,"£3,954",Convinced seekers,9/11/2011,Sunday,September,2011,United Kingdom,9/11/1967,44,Adult,SABRINA,Suarez,SABRINA Suarez,,,,
10056,Female,Married,0-25000,"£3,954",Convinced seekers,11/14/2011,Monday,November,2011,Germany,6/23/1970,41,Adult,LINDA,Gill,LINDA Gill,,,,
10057,Female,Married,0-25000,"£3,954",Convinced seekers,11/27/2011,Sunday,November,2011,Australia,3/24/1968,43,Adult,BRANDI,Gutierrez,BRANDI Gutierrez,,,,
10058,Female,Married,0-25000,"£3,954",Convinced seekers,1/1/2012,Sunday,January,2012,Australia,7/20/1966,45,Adult,MONICA,Perez,MONICA Perez,,,,
10059,Female,Married,0-25000,"£3,954",Convinced seekers,2/5/2012,Sunday,February,2012,Australia,11/15/1971,40,Adult,BRANDY,Patel,BRANDY Patel,,,,
10060,Female,Married,0-25000,"£3,954",Convinced seekers,2/11/2012,Saturday,February,2012,Australia,5/18/1955,56,Seniors,JULIE,Jai,JULIE Jai,,,,
10061,Female,Married,0-25000,"£3,954",Convinced seekers,2/17/2012,Friday,February,2012,Australia,1/12/1959,53,Seniors,ALICIA,Pal,ALICIA Pal,,,,
10062,Female,Married,0-25000,"£3,954",Convinced seekers,3/11/2012,Sunday,March,2012,France,7/3/1959,52,Seniors,ELIZABETH,Bradley,ELIZABETH Bradley,,,,
10063,Female,Married,0-25000,"£2,411",Brand seekers,6/5/2012,Tuesday,June,2012,Germany,8/8/1943,68,Elderly,JILL,Dominguez,JILL Dominguez,,,,
10064,Female,Married,0-25000,"£2,700",Convinced seekers,6/12/2012,Tuesday,June,2012,Northwest,11/23/1957,54,Seniors,EMILY,Diaz,EMILY Diaz,,,,
10065,Female,Married,0-25000,"£2,411",Brand seekers,7/14/2012,Saturday,July,2012,United Kingdom,7/10/1962,50,Seniors,KATRINA,Xie,KATRINA Xie,,,,
10066,Female,Married,0-25000,"£2,700",Convinced seekers,7/22/2012,Sunday,July,2012,United Kingdom,7/18/1953,59,Seniors,TRACY,She,TRACY She,,,,
10067,Female,Married,0-25000,£865,Casual buyers,8/15/2012,Wednesday,August,2012,Southwest,12/11/1959,52,Seniors,JILLIAN,Fernandez,JILLIAN Fernandez,,,,
10068,Female,Married,0-25000,"£2,289",Brand seekers,8/28/2012,Tuesday,August,2012,United Kingdom,1/9/1962,50,Seniors,EMILY,Hall,EMILY Hall,,,,
10069,Female,Married,0-25000,£865,Casual buyers,11/2/2012,Friday,November,2012,Southwest,10/26/1941,71,Elderly,DIANE,Jimenez,DIANE Jimenez,,,,
10070,Female,Married,0-25000,"£2,289",Brand seekers,12/18/2012,Tuesday,December,2012,Australia,10/23/1961,51,Seniors,WENDY,Ramos,WENDY Ramos,,,,
10071,Female,Married,0-25000,"£1,105",Casual buyers,12/21/2012,Friday,December,2012,Southwest,2/19/1961,51,Seniors,FELICIA,Vazquez,FELICIA Vazquez,,,,
10072,Female,Married,0-25000,£865,Casual buyers,1/1/2013,Tuesday,January,2013,Southwest,12/11/1962,50,Seniors,PAMELA,Suri,PAMELA Suri,,,,
10073,Female,Married,0-25000,"£2,411",Brand seekers,1/3/2013,Thursday,January,2013,United Kingdom,4/22/1967,45,Adult,DANA,Blanco,DANA Blanco,,,,
10074,Female,Married,0-25000,"£2,264",Brand seekers,1/10/2013,Thursday,January,2013,Australia,1/14/1960,52,Seniors,TANYA,Suarez,TANYA Suarez,,,,
10075,Female,Married,0-25000,"£2,264",Brand seekers,1/17/2013,Thursday,January,2013,Australia,8/3/1941,71,Elderly,KRISTA,Munoz,KRISTA Munoz,,,,
10076,Female,Married,0-25000,"£2,411",Brand seekers,2/12/2013,Tuesday,February,2013,France,4/27/1934,78,Elderly,TINA,Subram,TINA Subram,,,,
10077,Female,Married,0-25000,"£2,289",Brand seekers,4/10/2013,Wednesday,April,2013,Australia,2/14/1968,45,Adult,CANDACE,Perez,CANDACE Perez,,,,
10078,Female,Married,0-25000,"£2,700",Convinced seekers,4/29/2013,Monday,April,2013,Southwest,8/22/1947,65,Elderly,THERESA,Ramos,THERESA Ramos,,,,
10079,Female,Married,0-25000,"£2,264",Brand seekers,5/9/2013,Thursday,May,2013,France,7/6/1957,55,Seniors,CHLOE,Moore,CHLOE Moore,,,,
10080,Female,Married,0-25000,£624,Casual buyers,7/2/2013,Tuesday,July,2013,Northwest,2/18/1966,47,Adult,PAMELA,Fernandez,PAMELA Fernandez,,,,
10081,Female,Married,0-25000,£651,Casual buyers,7/13/2013,Saturday,July,2013,Australia,11/15/1971,41,Adult,BRANDY,Patel,BRANDY Patel,,,,
10082,Female,Married,0-25000,"£2,587",Convinced seekers,7/17/2013,Wednesday,July,2013,Southwest,3/18/1949,64,Seniors,BARBARA,Zhang,BARBARA Zhang,,,,
10083,Female,Married,0-25000,£4,Casual buyers,7/17/2013,Wednesday,July,2013,United Kingdom,1/11/1979,34,Young Adult,SANDRA,Huang,SANDRA Huang,,,,
10084,Female,Married,0-25000,£35,Casual buyers,7/18/2013,Thursday,July,2013,Australia,10/15/1964,48,Adult,TERESA,Blanco,TERESA Blanco,,,,
10085,Female,Married,0-25000,"£1,381",Casual buyers,7/19/2013,Friday,July,2013,Australia,3/25/1976,37,Adult,ALISHA,Tang,ALISHA Tang,,,,
10086,Female,Married,0-25000,£77,Casual buyers,7/22/2013,Monday,July,2013,Canada,7/18/1964,49,Adult,KRYSTAL,Cai,KRYSTAL Cai,,,,
10087,Female,Married,0-25000,£40,Casual buyers,7/23/2013,Tuesday,July,2013,France,2/27/1960,53,Seniors,BARBARA,Zhu,BARBARA Zhu,,,,
10088,Female,Married,0-25000,£83,Casual buyers,7/27/2013,Saturday,July,2013,Northwest,5/27/1978,35,Adult,LACEY,Jai,LACEY Jai,,,,
10089,Female,Married,0-25000,£9,Casual buyers,7/29/2013,Monday,July,2013,Northwest,10/26/1962,50,Seniors,TAYLOR,Walker,TAYLOR Walker,,,,
10090,Female,Married,0-25000,"£2,605",Convinced seekers,8/9/2013,Friday,August,2013,Southwest,7/9/1978,35,Adult,DAWN,Zeng,DAWN Zeng,,,,
10091,Female,Married,0-25000,£11,Casual buyers,8/15/2013,Thursday,August,2013,Northwest,5/27/1978,35,Adult,LACEY,Jai,LACEY Jai,,,,
10092,Female,Married,0-25000,"£2,619",Convinced seekers,8/18/2013,Sunday,August,2013,Southwest,12/4/1970,42,Adult,DAWN,Zhao,DAWN Zhao,,,,
10093,Female,Married,0-25000,"£2,536",Convinced seekers,8/18/2013,Sunday,August,2013,United Kingdom,2/6/1966,47,Adult,BARBARA,He,BARBARA He,,,,
10094,Female,Married,0-25000,£133,Casual buyers,8/19/2013,Monday,August,2013,Australia,10/23/1976,36,Adult,MISTY,Raji,MISTY Raji,,,,
10095,Female,Married,0-25000,£44,Casual buyers,8/20/2013,Tuesday,August,2013,United Kingdom,11/19/1939,73,Elderly,TRACY,Nath,TRACY Nath,,,,
10096,Female,Married,0-25000,£94,Casual buyers,8/22/2013,Thursday,August,2013,Australia,7/3/1942,71,Elderly,KENDRA,Gutierrez,KENDRA Gutierrez,,,,
10097,Female,Married,0-25000,"£2,575",Convinced seekers,8/23/2013,Friday,August,2013,France,7/6/1957,56,Seniors,CHLOE,Moore,CHLOE Moore,,,,
10098,Female,Married,0-25000,£143,Casual buyers,8/27/2013,Tuesday,August,2013,Northwest,5/14/1958,55,Seniors,DANA,Muñoz,DANA Muñoz,,,,
10099,Female,Married,0-25000,£40,Casual buyers,8/27/2013,Tuesday,August,2013,United Kingdom,10/4/1948,64,Seniors,JOAN,Vazquez,JOAN Vazquez,,,,
10100,Female,Married,0-25000,£32,Casual buyers,8/30/2013,Friday,August,2013,Australia,2/26/1976,37,Adult,CASSANDRA,Sara,CASSANDRA Sara,,,,
10101,Female,Married,0-25000,"£1,907",Brand seekers,9/2/2013,Monday,September,2013,Australia,3/12/1980,33,Young Adult,NATASHA,Carlson,NATASHA Carlson,,,,
10102,Female,Married,0-25000,£52,Casual buyers,9/3/2013,Tuesday,September,2013,France,2/27/1960,53,Seniors,BARBARA,Zhu,BARBARA Zhu,,,,
10103,Female,Married,0-25000,£8,Casual buyers,9/6/2013,Friday,September,2013,Australia,8/21/1952,61,Seniors,LACEY,Ye,LACEY Ye,,,,
10104,Female,Married,0-25000,£133,Casual buyers,9/12/2013,Thursday,September,2013,Northwest,11/20/1978,34,Young Adult,DAWN,He,DAWN He,,,,
10105,Female,Married,0-25000,"£3,954",Convinced seekers,6/13/2011,Monday,June,2011,France,6/7/1949,62,Seniors,BARBARA,Xu,BARBARA Xu,,,,
10106,Female,Married,0-25000,"£3,954",Convinced seekers,6/21/2011,Tuesday,June,2011,France,3/24/1977,34,Young Adult,ANNA,Martin,ANNA Martin,,,,
10107,Female,Married,0-25000,"£3,729",Convinced seekers,7/3/2011,Sunday,July,2011,Australia,2/8/1954,57,Seniors,JUDITH,White,JUDITH White,,,,
10108,Female,Married,0-25000,"£3,757",Convinced seekers,11/6/2011,Sunday,November,2011,Australia,9/27/1933,78,Elderly,NICOLE,Anderson,NICOLE Anderson,,,,
10109,Female,Married,0-25000,"£3,954",Convinced seekers,11/17/2011,Thursday,November,2011,Australia,9/19/1974,37,Adult,JANELLE,Sai,JANELLE Sai,,,,
10110,Female,Married,0-25000,£773,Casual buyers,1/6/2012,Friday,January,2012,Northwest,6/20/1969,42,Adult,SHEILA,Ramos,SHEILA Ramos,,,,
10111,Female,Married,0-25000,"£3,954",Convinced seekers,2/25/2012,Saturday,February,2012,Southwest,10/20/1959,52,Seniors,BARBARA,Raji,BARBARA Raji,,,,
10112,Female,Married,0-25000,"£3,954",Convinced seekers,3/8/2012,Thursday,March,2012,Southwest,2/21/1967,45,Adult,TAMARA,Guo,TAMARA Guo,,,,
10113,Female,Married,0-25000,"£3,954",Convinced seekers,3/30/2012,Friday,March,2012,Southwest,7/24/1966,45,Adult,ALISHA,Andersen,ALISHA Andersen,,,,
10114,Female,Married,0-25000,"£3,954",Convinced seekers,3/30/2012,Friday,March,2012,Southwest,12/4/1970,41,Adult,DAWN,Zhao,DAWN Zhao,,,,
10115,Female,Married,0-25000,"£3,954",Convinced seekers,4/6/2012,Friday,April,2012,Southwest,7/6/1933,78,Elderly,DAWN,Zhou,DAWN Zhou,,,,
10116,Female,Married,0-25000,"£3,729",Convinced seekers,4/17/2012,Tuesday,April,2012,Australia,3/25/1976,36,Adult,ALISHA,Tang,ALISHA Tang,,,,
10117,Female,Married,0-25000,"£3,954",Convinced seekers,5/21/2012,Monday,May,2012,Southwest,7/9/1978,33,Young Adult,DAWN,Zeng,DAWN Zeng,,,,
10118,Female,Married,0-25000,"£2,289",Brand seekers,9/5/2012,Wednesday,September,2012,Australia,6/24/1961,51,Seniors,TAMARA,Wang,TAMARA Wang,,,,
10119,Female,Married,0-25000,"£2,289",Brand seekers,9/17/2012,Monday,September,2012,Australia,5/4/1947,65,Elderly,JACLYN,Nara,JACLYN Nara,,,,
10120,Female,Married,0-25000,£865,Casual buyers,10/16/2012,Tuesday,October,2012,Northwest,2/8/1962,50,Seniors,BRENDA,Rana,BRENDA Rana,,,,
10121,Female,Married,0-25000,"£2,264",Brand seekers,10/27/2012,Saturday,October,2012,Australia,11/8/1945,66,Elderly,MADISON,Perry,MADISON Perry,,,,
10122,Female,Married,0-25000,£865,Casual buyers,11/9/2012,Friday,November,2012,Southwest,2/25/1947,65,Elderly,CANDACE,Prasad,CANDACE Prasad,,,,
10123,Female,Married,0-25000,"£2,411",Brand seekers,11/10/2012,Saturday,November,2012,Germany,5/4/1978,34,Young Adult,TRACY,Sharma,TRACY Sharma,,,,
10124,Female,Married,0-25000,"£2,289",Brand seekers,11/12/2012,Monday,November,2012,Australia,9/10/1944,68,Elderly,ROBYN,Dominguez,ROBYN Dominguez,,,,
10125,Female,Married,0-25000,"£2,289",Brand seekers,12/13/2012,Thursday,December,2012,Australia,9/17/1956,56,Seniors,WENDY,Serrano,WENDY Serrano,,,,
10126,Female,Married,0-25000,"£2,264",Brand seekers,2/19/2013,Tuesday,February,2013,Australia,6/1/1974,38,Adult,FELICIA,Rubio,FELICIA Rubio,,,,
10127,Female,Married,0-25000,£865,Casual buyers,2/25/2013,Monday,February,2013,Northwest,2/18/1966,47,Adult,PAMELA,Fernandez,PAMELA Fernandez,,,,
10128,Female,Married,0-25000,"£2,411",Brand seekers,3/2/2013,Saturday,March,2013,Northwest,8/20/1979,33,Young Adult,THERESA,Vazquez,THERESA Vazquez,,,,
10129,Female,Married,0-25000,"£2,289",Brand seekers,3/24/2013,Sunday,March,2013,Australia,9/24/1948,64,Seniors,RENEE,Ortega,RENEE Ortega,,,,
10130,Female,Married,0-25000,"£2,411",Brand seekers,3/29/2013,Friday,March,2013,Germany,1/24/1979,34,Young Adult,SUSAN,Zhu,SUSAN Zhu,,,,
10131,Female,Married,0-25000,"£2,411",Brand seekers,5/12/2013,Sunday,May,2013,Southwest,2/24/1948,65,Elderly,WENDY,Dominguez,WENDY Dominguez,,,,
10132,Female,Married,0-25000,"£2,289",Brand seekers,5/27/2013,Monday,May,2013,France,11/21/1962,50,Seniors,BARBARA,Wu,BARBARA Wu,,,,
10133,Female,Married,0-25000,"£2,547",Convinced seekers,6/6/2013,Thursday,June,2013,Australia,9/27/1933,79,Elderly,NICOLE,Anderson,NICOLE Anderson,,,,
10134,Female,Married,0-25000,£676,Casual buyers,6/19/2013,Wednesday,June,2013,France,7/3/1929,83,Elderly,VICTORIA,Griffin,VICTORIA Griffin,,,,
10135,Female,Married,0-25000,"£2,602",Convinced seekers,7/7/2013,Sunday,July,2013,France,8/8/1962,50,Seniors,JENNY,Shen,JENNY Shen,,,,
10136,Female,Married,0-25000,£43,Casual buyers,7/10/2013,Wednesday,July,2013,Canada,7/27/1958,54,Seniors,MOLLY,Vance,MOLLY Vance,,,,
10137,Female,Married,0-25000,£41,Casual buyers,7/10/2013,Wednesday,July,2013,Canada,1/21/1962,51,Seniors,ABIGAIL,Garcia,ABIGAIL Garcia,,,,
10138,Female,Married,0-25000,£85,Casual buyers,7/15/2013,Monday,July,2013,Canada,4/6/1936,77,Elderly,MELODY,Munoz,MELODY Munoz,,,,
10139,Female,Married,0-25000,"£2,700",Convinced seekers,7/17/2013,Wednesday,July,2013,Australia,1/9/1961,52,Seniors,BRANDI,Ruiz,BRANDI Ruiz,,,,
10140,Female,Married,0-25000,£41,Casual buyers,7/17/2013,Wednesday,July,2013,Canada,8/20/1979,33,Young Adult,CYNTHIA,Weber,CYNTHIA Weber,,,,
10141,Female,Married,0-25000,"£2,536",Convinced seekers,7/29/2013,Monday,July,2013,Australia,6/10/1960,53,Seniors,JENNY,McDonald,JENNY McDonald,,,,
10142,Female,Married,0-25000,£93,Casual buyers,7/31/2013,Wednesday,July,2013,Germany,2/17/1966,47,Adult,CHRISTY,Zeng,CHRISTY Zeng,,,,
10143,Female,Married,0-25000,"£1,277",Casual buyers,7/31/2013,Wednesday,July,2013,Northwest,6/20/1969,44,Adult,SHEILA,Ramos,SHEILA Ramos,,,,
10144,Female,Married,0-25000,"£2,615",Convinced seekers,8/4/2013,Sunday,August,2013,Southwest,7/6/1933,80,Elderly,DAWN,Zhou,DAWN Zhou,,,,
10145,Female,Married,0-25000,£38,Casual buyers,8/5/2013,Monday,August,2013,United Kingdom,3/19/1965,48,Adult,CHRISTY,Andersen,CHRISTY Andersen,,,,
10146,Female,Married,0-25000,"£2,536",Convinced seekers,8/6/2013,Tuesday,August,2013,Australia,3/3/1968,45,Adult,KAYLA,Thomas,KAYLA Thomas,,,,
10147,Female,Married,0-25000,£133,Casual buyers,8/6/2013,Tuesday,August,2013,Southwest,6/14/1979,34,Young Adult,KATHLEEN,Rubio,KATHLEEN Rubio,,,,
10148,Female,Married,0-25000,£24,Casual buyers,8/7/2013,Wednesday,August,2013,France,2/27/1960,53,Seniors,BARBARA,Zhu,BARBARA Zhu,,,,
10149,Female,Married,0-25000,"£2,604",Convinced seekers,8/12/2013,Monday,August,2013,Germany,7/9/1957,56,Seniors,TAYLOR,Johnson,TAYLOR Johnson,,,,
10150,Female,Married,0-25000,£208,Casual buyers,8/12/2013,Monday,August,2013,United Kingdom,2/27/1975,38,Adult,MORGAN,Coleman,MORGAN Coleman,,,,
10151,Female,Married,0-25000,"£2,709",Convinced seekers,8/19/2013,Monday,August,2013,Australia,4/27/1977,36,Adult,BRANDI,Blanco,BRANDI Blanco,,,,
10152,Female,Married,0-25000,"£1,238",Casual buyers,8/22/2013,Thursday,August,2013,Australia,8/11/1957,56,Seniors,KELSEY,Raje,KELSEY Raje,,,,
10153,Female,Married,0-25000,£39,Casual buyers,8/23/2013,Friday,August,2013,Southwest,8/26/1980,32,Young Adult,ALISHA,Xu,ALISHA Xu,,,,
10154,Female,Married,0-25000,£109,Casual buyers,8/27/2013,Tuesday,August,2013,Canada,2/6/1964,49,Adult,DESTINY,Martin,DESTINY Martin,,,,
10155,Female,Married,0-25000,£6,Casual buyers,9/5/2013,Thursday,September,2013,Canada,2/6/1964,49,Adult,DESTINY,Martin,DESTINY Martin,,,,
10156,Female,Married,0-25000,£77,Casual buyers,9/8/2013,Sunday,September,2013,Canada,6/24/1947,66,Elderly,SHEILA,Gill,SHEILA Gill,,,,
10157,Female,Married,0-25000,£773,Casual buyers,6/14/2011,Tuesday,June,2011,United Kingdom,4/11/1974,37,Adult,JULIE,Xie,JULIE Xie,,,,
10158,Female,Married,0-25000,"£3,954",Convinced seekers,9/22/2011,Thursday,September,2011,United Kingdom,5/12/1980,31,Young Adult,SABRINA,Rubio,SABRINA Rubio,,,,
10159,Female,Married,0-25000,"£3,757",Convinced seekers,12/17/2011,Saturday,December,2011,Australia,3/20/1961,50,Seniors,JENNY,Xu,JENNY Xu,,,,
10160,Female,Married,0-25000,"£3,954",Convinced seekers,12/18/2011,Sunday,December,2011,Australia,3/12/1980,31,Young Adult,NATASHA,Carlson,NATASHA Carlson,,,,
10161,Female,Married,0-25000,"£3,954",Convinced seekers,1/1/2012,Sunday,January,2012,Australia,5/7/1951,60,Seniors,CASSANDRA,Sai,CASSANDRA Sai,,,,
10162,Female,Married,0-25000,"£3,757",Convinced seekers,1/6/2012,Friday,January,2012,Canada,6/1/1943,68,Elderly,NICOLE,Gonzales,NICOLE Gonzales,,,,
10163,Female,Married,0-25000,"£3,954",Convinced seekers,1/22/2012,Sunday,January,2012,Australia,8/25/1949,62,Seniors,HOLLY,Garcia,HOLLY Garcia,,,,
